timestamp,value,classification,date
1517463000,30,Fear,2018-02-01
1517549400,15,Extreme Fear,2018-02-02
1517635800,40,Fear,2018-02-03
1517722200,24,Extreme Fear,2018-02-04
1517808600,11,Extreme Fear,2018-02-05
1517895000,8,Extreme Fear,2018-02-06
1517981400,36,Fear,2018-02-07
1518067800,30,Fear,2018-02-08
1518154200,44,Fear,2018-02-09
1518240600,54,Neutral,2018-02-10
1518327000,31,Fear,2018-02-11
1518413400,42,Fear,2018-02-12
1518499800,35,Fear,2018-02-13
1518586200,55,Greed,2018-02-14
1518672600,71,Greed,2018-02-15
1518759000,67,Greed,2018-02-16
1518845400,74,Greed,2018-02-17
1518931800,63,Greed,2018-02-18
1519018200,67,Greed,2018-02-19
1519104600,74,Greed,2018-02-20
1519191000,54,Neutral,2018-02-21
1519277400,44,Fear,2018-02-22
1519363800,39,Fear,2018-02-23
1519450200,31,Fear,2018-02-24
1519536600,33,Fear,2018-02-25
1519623000,37,Fear,2018-02-26
1519709400,44,Fear,2018-02-27
1519795800,41,Fear,2018-02-28
1519882200,38,Fear,2018-03-01
1519968600,47,Neutral,2018-03-02
1520055000,56,Greed,2018-03-03
1520141400,44,Fear,2018-03-04
1520227800,55,Greed,2018-03-05
1520314200,59,Greed,2018-03-06
1520400600,37,Fear,2018-03-07
1520487000,39,Fear,2018-03-08
1520573400,37,Fear,2018-03-09
1520659800,39,Fear,2018-03-10
1520746200,40,Fear,2018-03-11
1520832600,41,Fear,2018-03-12
1520919000,41,Fear,2018-03-13
1521005400,40,Fear,2018-03-14
1521091800,32,Fear,2018-03-15
1521178200,33,Fear,2018-03-16
1521264600,31,Fear,2018-03-17
